"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","1","I69","","13_60 a 64","2"
"02","1","I71","","10_45 a 49","6"
"02","1","I71","","13_60 a 64","13"
"02","1","I71","","16_75 a 79","16"
"02","1","I77","","15_70 a 74","3"
"02","1","J09","","14_65 a 69","1"
"02","1","J13","","14_65 a 69","1"
"02","1","J15","","08_35 a 39","1"
"02","1","J15","","10_45 a 49","1"
"02","1","J15","","16_75 a 79","15"
"02","1","J18","","06_25 a 29","2"
"02","1","J18","","08_35 a 39","8"
"02","1","J18","","10_45 a 49","9"
"02","1","J18","","16_75 a 79","222"
"02","1","J38","","13_60 a 64","1"
"02","1","J69","","11_50 a 54","2"
"02","1","J80","","13_60 a 64","1"
"02","1","J81","","07_30 a 34","4"
"02","1","J81","","14_65 a 69","1"
"02","1","J84","","16_75 a 79","12"
"02","1","J94","","17_80 y más","2"
"02","1","J96","","14_65 a 69","11"
"02","1","J98","","15_70 a 74","11"
"02","1","K25","","13_60 a 64","1"
"02","1","K26","","15_70 a 74","4"
"02","1","K31","","16_75 a 79","1"
"02","1","K40","","17_80 y más","2"
"02","1","K56","","10_45 a 49","1"
"02","1","K56","","12_55 a 59","1"
"02","1","K56","","13_60 a 64","2"
"02","1","K63","","12_55 a 59","1"
"02","1","K63","","17_80 y más","6"
"02","1","K65","","15_70 a 74","27"
"02","1","K71","","10_45 a 49","1"
"02","1","K72","","10_45 a 49","4"
"02","1","K72","","12_55 a 59","6"
"02","1","K72","","13_60 a 64","3"
"02","1","K74","","07_30 a 34","1"
"02","1","K75","","14_65 a 69","1"
"02","1","K83","","16_75 a 79","1"
"02","1","K85","","11_50 a 54","1"
"02","1","K85","","14_65 a 69","2"
"02","1","K92","","11_50 a 54","3"
"02","1","K92","","14_65 a 69","5"
"02","1","L03","","15_70 a 74","1"
"02","1","L08","","09_40 a 44","1"
"02","1","L89","","11_50 a 54","1"
"02","1","L89","","14_65 a 69","5"
"02","1","M25","","17_80 y más","2"
"02","1","M72","","14_65 a 69","1"
"02","1","M80","","16_75 a 79","1"
"02","1","M99","","17_80 y más","1"
"02","1","N05","","13_60 a 64","1"
"02","1","N17","","08_35 a 39","1"
"02","1","N18","","15_70 a 74","9"
"02","1","N19","","10_45 a 49","2"
