PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
22;1;D37;NULL;15_70 a 74;5
62;1;E11;NULL;14_65 a 69;3
02;2;C38;NULL;15_70 a 74;1
06;1;I11;NULL;17_80 y más;355
50;2;J44;NULL;12_55 a 59;5
02;1;J14;NULL;17_80 y más;1
66;1;B87;NULL;17_80 y más;1
50;1;V03;NULL;12_55 a 59;2
06;2;C49;NULL;10_45 a 49;3
02;1;C67;NULL;16_75 a 79;20
62;1;I64;NULL;13_60 a 64;3
06;1;G62;NULL;17_80 y más;3
02;1;G93;NULL;01_Menor de 1 año;1
50;2;I61;NULL;13_60 a 64;3
06;2;K65;NULL;13_60 a 64;39
26;2;C73;NULL;16_75 a 79;1
46;2;N18;NULL;11_50 a 54;1
58;1;K81;NULL;17_80 y más;2
82;1;C64;NULL;03_10 a 14;1
18;2;O43;M;07_30 a 34;1
30;2;C95;NULL;14_65 a 69;2
14;1;V54;NULL;07_30 a 34;1
54;2;E10;NULL;17_80 y más;5
82;2;K51;NULL;08_35 a 39;1
06;1;C92;NULL;04_15 a 19;3
50;1;D38;NULL;13_60 a 64;2
70;2;N39;NULL;17_80 y más;27
58;2;R98;NULL;15_70 a 74;1
30;1;K85;NULL;10_45 a 49;1
06;2;C90;NULL;14_65 a 69;14
90;1;G12;NULL;16_75 a 79;1
50;2;E11;NULL;15_70 a 74;20
66;1;E14;NULL;15_70 a 74;20
10;2;C41;NULL;15_70 a 74;1
50;1;G40;NULL;07_30 a 34;1
70;1;I35;NULL;17_80 y más;2
70;1;I67;NULL;15_70 a 74;3
54;1;P24;NULL;01_Menor de 1 año;3
86;1;J80;NULL;17_80 y más;1
06;1;E46;NULL;14_65 a 69;6
82;2;V04;NULL;17_80 y más;1
18;1;C80;NULL;14_65 a 69;8
10;1;W79;NULL;16_75 a 79;1
50;2;E14;NULL;11_50 a 54;3
70;2;I12;NULL;15_70 a 74;1
78;2;P07;NULL;01_Menor de 1 año;1
82;1;C80;NULL;08_35 a 39;3
30;2;K55;NULL;14_65 a 69;1
46;2;J18;NULL;11_50 a 54;1
02;2;B99;NULL;17_80 y más;9
