PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
50;1;I67;NULL;16_75 a 79;20
50;2;I11;NULL;09_40 a 44;1
90;1;J96;NULL;06_25 a 29;2
06;2;D75;NULL;10_45 a 49;1
99;2;I49;NULL;99_Sin especificar;1
14;1;G70;NULL;15_70 a 74;2
54;2;C53;NULL;12_55 a 59;6
82;2;J40;NULL;17_80 y más;2
66;1;K86;NULL;13_60 a 64;1
90;2;N19;NULL;12_55 a 59;2
26;2;C23;NULL;14_65 a 69;1
70;1;I25;NULL;16_75 a 79;14
70;2;D89;NULL;17_80 y más;1
58;1;C92;NULL;10_45 a 49;2
50;1;I21;NULL;15_70 a 74;89
42;1;J98;NULL;14_65 a 69;1
50;2;R13;NULL;16_75 a 79;1
06;1;J44;NULL;99_Sin especificar;14
30;2;C18;NULL;10_45 a 49;4
82;2;R02;NULL;14_65 a 69;1
70;2;R57;NULL;17_80 y más;4
82;1;Y17;NULL;11_50 a 54;1
86;2;N19;NULL;15_70 a 74;1
50;2;I49;NULL;11_50 a 54;1
90;1;X74;NULL;10_45 a 49;1
50;2;I10;NULL;10_45 a 49;1
66;2;X70;NULL;09_40 a 44;1
90;2;D64;NULL;14_65 a 69;1
02;1;I42;NULL;15_70 a 74;125
26;1;C43;NULL;12_55 a 59;2
54;2;C22;NULL;13_60 a 64;3
62;1;L08;NULL;16_75 a 79;1
62;2;I08;NULL;15_70 a 74;1
30;2;I27;NULL;10_45 a 49;1
10;1;X09;NULL;15_70 a 74;1
26;1;I21;NULL;12_55 a 59;5
14;1;I38;NULL;17_80 y más;5
06;2;A49;NULL;14_65 a 69;1
30;1;N18;NULL;16_75 a 79;6
06;1;Q43;NULL;01_Menor de 1 año;1
74;2;J18;NULL;09_40 a 44;2
22;2;G40;NULL;06_25 a 29;1
34;2;I51;NULL;15_70 a 74;2
38;2;X09;NULL;07_30 a 34;1
62;2;C76;NULL;16_75 a 79;1
90;2;C53;NULL;17_80 y más;3
62;2;K80;NULL;17_80 y más;2
62;1;C07;NULL;14_65 a 69;1
74;2;B24;NULL;07_30 a 34;1
82;1;I71;NULL;08_35 a 39;2
30;1;C22;NULL;02_1 a 9;1
30;1;R99;NULL;10_45 a 49;14
14;1;I60;NULL;06_25 a 29;1
70;1;V54;NULL;10_45 a 49;1
38;1;E11;NULL;17_80 y más;7
78;1;I60;NULL;17_80 y más;1
86;1;C14;NULL;14_65 a 69;1
06;1;X09;NULL;02_1 a 9;1
10;1;V47;NULL;06_25 a 29;1
26;2;I64;NULL;10_45 a 49;1
14;1;V24;NULL;10_45 a 49;1
58;1;C23;NULL;15_70 a 74;2
42;1;I33;NULL;12_55 a 59;1
30;1;I62;NULL;15_70 a 74;1
78;1;C18;NULL;09_40 a 44;1
70;1;A16;NULL;17_80 y más;2
06;2;C21;NULL;14_65 a 69;4
62;2;P02;NULL;01_Menor de 1 año;2
10;2;X70;NULL;04_15 a 19;5
14;1;I64;NULL;10_45 a 49;3
06;2;I33;NULL;07_30 a 34;2
06;1;A49;NULL;04_15 a 19;1
18;2;C22;NULL;16_75 a 79;3
22;1;I71;NULL;09_40 a 44;2
62;1;I50;NULL;17_80 y más;58
06;2;K42;NULL;17_80 y más;5
06;9;X59;NULL;16_75 a 79;1
74;1;I10;NULL;13_60 a 64;1
78;2;N17;NULL;16_75 a 79;2
06;1;B39;NULL;07_30 a 34;1
10;1;G40;NULL;06_25 a 29;1
18;2;D41;NULL;15_70 a 74;1
54;2;N18;NULL;12_55 a 59;5
94;2;M32;NULL;08_35 a 39;1
18;1;I42;NULL;02_1 a 9;1
26;1;V28;NULL;10_45 a 49;1
34;2;I10;NULL;14_65 a 69;2
18;2;C64;NULL;13_60 a 64;3
50;1;W17;NULL;17_80 y más;1
90;2;C80;NULL;09_40 a 44;1
06;9;J80;NULL;16_75 a 79;1
26;2;C56;NULL;11_50 a 54;2
50;1;Y24;NULL;17_80 y más;3
06;1;C48;NULL;13_60 a 64;5
82;1;V89;NULL;02_1 a 9;2
34;2;C43;NULL;14_65 a 69;1
78;2;K72;NULL;14_65 a 69;1
